일자,코스닥,화학,종이·목재,제약,일반전기전자,의료·정밀기기,음식료·담배,운송장비·부품,섬유·의류,비금속,기계·장비,금속,IT H/W,IT S/W & SVC,통신방송서비스,유통,운송,오락·문화,금융,건설,제조업,IT부품,반도체,정보기기,통신장비,컴퓨터서비스,소프트웨어,디지털컨텐츠,인터넷,방송서비스,통신서비스,기타제조,출판·매체복제,기타서비스
2023/05/08,842.28,3069.31,10579.94,8102.54,2071.66,2054.61,8917.2,6238.96,98.04,48837.69,610.38,2716.89,593.77,1707.48,938.79,440.28,3988.97,686.67,1725.66,77.68,2926.44,1266.88,1491.33,11.36,129.53,226.33,239.06,1064.62,9982.07,2746.6,698.52,1368.5,3484.22,2320.77
2023/05/04,845.06,3073.12,10638.03,8182.83,2110.29,2077.01,8717.03,6130.68,97.49,48038.37,608.61,2706.1,584.74,1701.89,943.38,438.92,3960.92,703.47,1808.28,77.49,2942.48,1253.06,1460.41,11.47,129.03,222.21,238.48,1062.78,9877.45,2777.88,691.55,1369.44,3473.8,2322.28
2023/05/03,843.18,3073.87,10658.88,8014.84,2110.79,2076.12,8769.22,6202.43,97.63,48966.11,610.49,2731.86,591.25,1703.24,947.55,427.41,4042.53,711.25,1782.13,77.31,2935.07,1261.41,1483.97,11.59,128.77,221.81,238.54,1063.79,9941.46,2800.74,688.48,1402.36,3495.72,2286.07
2023/05/02,855.61,3110.37,10763.26,8128.52,2209.19,2074.8,8679.78,6193.0,97.97,48257.17,615.66,2750.08,590.05,1717.36,953.61,432.63,4197.58,711.7,1906.12,77.7,2984.34,1268.03,1475.75,11.49,128.4,221.05,241.01,1071.07,10070.63,2826.57,688.27,1417.35,3513.0,2322.14
2023/04/28,842.83,3016.85,10631.53,7989.57,2200.79,2019.7,8599.18,6058.6,97.4,47362.82,601.28,2712.24,584.35,1687.19,938.13,433.34,4374.12,685.35,1899.01,76.27,2934.19,1250.76,1464.79,11.34,127.22,217.44,235.92,1054.13,10049.28,2774.04,680.97,1388.81,3455.0,2267.83
2023/04/27,850.21,3078.74,10800.26,8011.97,2228.78,2015.18,8681.57,6196.15,97.67,47581.64,614.37,2817.12,595.04,1676.79,940.97,435.46,4358.57,678.56,1857.66,76.91,2971.76,1285.03,1481.55,11.57,129.26,220.69,238.08,1028.58,10008.01,2770.51,689.78,1433.37,3462.56,2310.71
2023/04/26,830.44,2995.3,10744.17,7922.69,2068.94,1979.51,8607.24,6136.53,98.57,47421.0,603.28,2741.36,584.18,1677.27,942.44,434.43,4957.15,679.16,1649.53,77.28,2890.53,1242.85,1467.96,11.25,128.97,215.43,237.86,1032.78,10018.51,2779.05,688.48,1418.79,3524.32,2299.36
2023/04/25,838.71,3053.93,10652.18,7918.33,2136.75,1999.71,8605.64,6285.88,98.87,47384.53,612.92,2789.31,589.43,1673.96,949.86,439.3,5918.69,668.68,1652.89,79.3,2932.69,1271.59,1465.26,11.5,129.52,216.45,237.48,1030.11,9956.02,2804.04,692.13,1455.81,3560.47,2326.15
2023/04/24,855.23,3166.71,10902.3,7978.76,2253.73,2000.99,8686.89,6202.26,98.53,47739.44,624.16,2885.97,603.53,1695.1,950.91,445.23,7332.13,669.92,1669.99,80.17,2998.93,1316.68,1490.9,11.6,131.14,217.52,240.38,1043.07,10192.91,2792.3,701.29,1478.34,3612.9,2367.52
2023/04/21,868.82,3209.02,11058.64,8100.07,2280.36,2012.18,8791.05,6202.39,102.06,48429.63,637.22,2917.93,617.56,1713.43,964.3,462.43,9388.78,667.47,1667.79,81.3,3038.42,1354.86,1520.0,11.85,133.57,219.07,243.0,1054.42,10321.79,2827.4,713.56,1464.37,3721.43,2403.33
