종목명,공모주일정,확정공모가,희망공모가,청약경쟁률,주간사,분석
넥스턴,2006.10.23~10.25,"4,100","3,700~4,700",485.67:1,동양증권,
제이티,2006.10.17~10.19,"2,700","2,700~3,700",621.81:1,한화증권,
이녹스,2006.10.10~10.12,"6,500","7,000~8,000",514.2:1,한국투자증권,
광진윈텍,2006.10.10~10.12,"2,600","2,400~2,800",903.07:1,신영증권,
삼정펄프(유가),2006.09.26~09.28,"29,000","28,000~32,000",610.31:1,서울증권,
용현비엠,2006.09.25~09.27,"9,000","8,000~9,000",896.38:1,동양증권,
바텍,2006.09.19~09.21,"6,700","7,000~9,000",481.62:1,교보증권,
엠디에스테크놀로지,2006.09.13~09.15,"13,000","13,000~16,000",341.19:1,교보증권,
현대EP(유가),2006.09.11~09.13,"18,500","17,200~21,000",712.86:1,현대증권,
평산,2006.08.08~08.10,"15,500","13,500~15,000",262 : 1,미래에셋증권,
엘씨텍,2006.07.26~07.28,"1,500","1,600~2,100",896.95 : 1,신영증권,
지오텔,2006.07.19~07.21,"9,800","10,000~11,000",30 : 1,한국증권,
트라이콤,2006.07.12~07.14,"4,800","6,000~7,000",10.57 : 1,굿모닝신한증권,
젠트로,2006.07.11~07.13,"2,200","3,000~4,000",348.68 : 1,키움닷컴,
엑스씨이,2006.07.11~07.13,"7,500","7,500~8,500",4.71 : 1,동양증권,
티엘아이,2006.07.11~07.13,"11,400","12,000~15,000",407.16 : 1,미래에셋증권,
한국전자금융,2006.07.04~07.06,"20,500","20,000~25,000",631 : 1,현대증권,
미디어플렉스,2006.06.26~06.29,"24,000","23,000~29,000",177.3 : 1,한국투자증권,
화풍방직국제집단유한공사(유가),2006.06.26~06.27,0,"4,400~6,400",,대우증권,
팬엔터테인먼트,2006.06.21~06.23,"7,000","7,000~8,500",317.52 : 1,NH투자증권,
맥스엔지니어링,2006.06.21~06.23,"2,900","3,500~4,500",84.53 : 1,한화증권,
사이버패스,2006.06.21~06.23,"5,200","5,500~7,500",16.36 : 1,교보증권,
온미디어(유가),2006.06.21~06.23,"5,200","4,500~5,500",230.29 : 1,삼성증권,
인포뱅크,2006.06.21~06.23,"4,600","6,000~7,000",34.02 : 1,동양증권,
에이치앤티,2006.06.19~06.21,"6,800","7,000~9,000",4.42 : 1,교보증권,
오엘케이,2006.06.14~06.16,"4,000","4,400~5,700",280.55 : 1,한국증권,
포인트아이,2006.06.14~06.16,"7,300","9,000~10,000",74.84 : 1,교보증권,
동우,2006.06.12~06.14,"3,000","3,700~4,800",4.81 : 1,대신증권,
제이브이엠,2006.05.24~05.26,"17,000","14,000~18,000",55.91: 1,교보증권,
롯데관광개발(유가),2006.05.23~05.25,"18,000","15,000~17,000",551.09 : 1,우리투자증권,
씨앤비텍,2006.05.23~05.25,"5,600","5,000~6,000",98.14 : 1,한화증권,
엔트로피,2006.05.10~05.12,"8,500","7,000~9,000",588.95 : 1,키움닷컴증권,
